epoch,train_loss,valid_auc,valid_acc,valid_rmse,valid_bce,valid_n
1,0.5205999796207135,0.8101858192623619,0.7681851788659501,0.39930206817910074,0.48436965062511933,17583
2,0.49448373654352024,0.8173050181227245,0.7733037593129728,0.39424309735856217,0.4742864856837253,17583
3,0.4871470444356864,0.8186887567571908,0.7767161462776545,0.39307751373329614,0.4719375128066951,17583
4,0.48350977107339543,0.8202594383186598,0.77569243018825,0.39347020607915884,0.4733543490039615,17583
5,0.4808022723748134,0.8224352691579728,0.7780811010635272,0.3910394567949831,0.4680354642137402,17583
