epoch,train_loss,valid_auc,valid_acc,valid_rmse,valid_bce,valid_n
1,0.560946819682916,0.7115787520352457,0.743,0.396435495003759,0.47997292789713447,1000
2,0.5125751545031866,0.7107227516521406,0.787,0.3918473763593559,0.4731307567643809,1000
3,0.503348300854365,0.7069455751364812,0.79,0.39074236060476847,0.4718110774406148,1000
4,0.5070870344837507,0.70407528014558,0.79,0.39154314856421163,0.47310331994204874,1000
5,0.5042815431952477,0.7091454362608945,0.79,0.39030494930028187,0.47003046708040674,1000
