epoch,train_loss,valid_auc,valid_acc,valid_rmse,valid_bce,valid_n
1,0.5148376696674447,0.8190685281871026,0.7672301266153244,0.4007636216954728,0.4889464886191273,30644
2,0.4932279937831979,0.8213715395393555,0.7687638689466127,0.39898748399230183,0.48493401412988996,30644
3,0.488634248062184,0.8221255885690164,0.7698081190445112,0.39840971157931876,0.48412175158260745,30644
4,0.4858932619973233,0.8238354347581116,0.7703628769090197,0.3984264858443861,0.48442925111859725,30644
5,0.4830749147816708,0.8245070598686814,0.7717660879780708,0.3969984808635713,0.48136514509692163,30644
6,0.48071189193349134,0.8238642783299459,0.7698081190445112,0.39738896723557354,0.48186669880017347,30644
7,0.4782647010527159,0.8238519509165433,0.76889440020885,0.3986917320417948,0.4845557694863569,30644
8,0.47570211388562855,0.8240089972463767,0.7709176347735283,0.39715414367880836,0.48185821905317267,30644
9,0.47313521036976264,0.8229531712635065,0.770493408171257,0.39766416110879915,0.483230378518651,30644
10,0.47064388384944517,0.8214895876929997,0.7676217204020362,0.3991468137066055,0.48599735135941513,30644
