epoch,train_loss,valid_auc,valid_acc,valid_rmse,valid_bce,valid_n
1,0.5149308180181603,0.8170345190239923,0.7638689466127138,0.40162776461189054,0.49045245297016643,30644
2,0.49442974030971526,0.8194908913596974,0.7673606578775617,0.3999375175312728,0.48661712377007116,30644
3,0.4903514870216972,0.8201055411088729,0.7681438454509855,0.399485332220941,0.48613638705607065,30644
4,0.4885923575727563,0.8224352887828059,0.7694817908889179,0.39865925171796956,0.4846593765094329,30644
5,0.48667499865356245,0.8227266348477513,0.7681112126354261,0.3986353663391216,0.48451184884739307,30644
6,0.48532955853562604,0.8230991194091938,0.7693512596266806,0.3981411336567171,0.4832407905948155,30644
7,0.4838255844304436,0.8230622799937184,0.7673280250620024,0.39920833297844693,0.48537316841019734,30644
8,0.4822916032138624,0.8236855764926936,0.769285993995562,0.3975776294863329,0.48211441223121576,30644
9,0.48101922097959016,0.823582843364893,0.7704281425401384,0.39742385728783003,0.48215833426245663,30644
10,0.4797354447214227,0.8232919210913675,0.7700691815689857,0.39810005558984213,0.4835059376291399,30644
11,0.47778204651255357,0.8230762955486335,0.7698733846756298,0.39812384208498836,0.48375021960821674,30644
12,0.4762230533047726,0.8243330595406622,0.7720597833181047,0.3972249748265025,0.48247142229236906,30644
13,0.4744151292035454,0.8234396369857955,0.7703302440934604,0.39774844481729416,0.48294056677216124,30644
14,0.4727398795516867,0.8230721864108326,0.7697754862289519,0.3977925934347069,0.4830163705548213,30644
15,0.4708911683057484,0.8231960271610121,0.768992298655528,0.39804892197850983,0.48336786074302784,30644
16,0.46899635377683135,0.8231079206906715,0.7704281425401384,0.3978310626089951,0.48348503128229525,30644
17,0.4668791700664319,0.8228377782450567,0.770493408171257,0.3978420932487478,0.4834148571873018,30644
