epoch,train_loss,valid_auc,valid_acc,valid_rmse,valid_bce,valid_n
1,0.5350467983679398,0.7385684041967868,0.7126679162761637,0.43586341406124574,0.5630469933312889,25608
2,0.5049844921619069,0.7445119632523814,0.7186035613870665,0.4348549243013498,0.565133363802962,25608
3,0.4932440767753895,0.7450334816528702,0.7188378631677601,0.43592395624704267,0.5750140810914988,25608
4,0.48665851719441733,0.7448822465175258,0.7172758512964699,0.436717133356968,0.5828825490703692,25608
5,0.4818837507800846,0.7480477354850136,0.7219228366135583,0.4350619845787999,0.5826892977337661,25608
6,0.4776784370165252,0.7495792588688117,0.7230943455170259,0.43360282269857614,0.5817778150058565,25608
7,0.47357445770805445,0.7480176451572944,0.7209075288972197,0.43576371136780356,0.5986359071830948,25608
8,0.46968106603688026,0.7483388315442816,0.7186426116838488,0.4358577901507465,0.5982060329946283,25608
9,0.4658554030743721,0.7475456761718781,0.7201265229615745,0.43598201209986753,0.6067197271696316,25608
10,0.46124107076016546,0.7510756599845652,0.721571383942518,0.43537211654150715,0.6061939915583555,25608
11,0.45666088395466337,0.7489809645412335,0.7177835051546392,0.4377870129144617,0.623950350498211,25608
12,0.45144814527510285,0.749258102876095,0.7209465791940018,0.4375812080491271,0.6316691236999348,25608
13,0.44587002462993136,0.7477304767131934,0.7211808809746955,0.4378303234493991,0.6399382203639603,25608
14,0.44019103542154725,0.7419907213722108,0.716533895657607,0.43845967215650483,0.6391192967353676,25608
15,0.4345019777424562,0.7434589976563991,0.7162605435801312,0.4393405007048816,0.6472352182499223,25608
