epoch,train_loss,valid_auc,valid_acc,valid_rmse,valid_bce,valid_n
1,0.5159960358802029,0.7397336833762658,0.7166900968447361,0.43600868751353183,0.5688313993910499,25608
2,0.4966864729763881,0.7439473863021263,0.7190331146516713,0.4359742193583752,0.5775019893388188,25608
3,0.4869150021709143,0.7449460204511563,0.7193455170259294,0.43840510544357975,0.5953448635866975,25608
4,0.47941803690327905,0.7439755043794092,0.7072399250234301,0.4404694059271663,0.593451608465885,25608
5,0.47335285940393296,0.7482376152466307,0.7196188691034052,0.43535881943470955,0.5900248790690141,25608
6,0.4672688231835503,0.7466332806994627,0.7196969696969697,0.4360071154011627,0.5952488705205583,25608
7,0.4599710622548729,0.7464265692663133,0.7167681974383006,0.4381589355059967,0.6122567977241398,25608
8,0.4525186020619604,0.7472539215700842,0.7168853483286473,0.436504064893858,0.6101009062123518,25608
9,0.4441522466021358,0.7421168170687739,0.7140737269603249,0.44106406054843006,0.6375323406912441,25608
10,0.4343695975481398,0.7479947886659359,0.7158309903155264,0.43874170999221307,0.632114391045978,25608
