epoch,train_loss,valid_auc,valid_acc,valid_rmse,valid_bce,valid_n
1,0.5304154719660338,0.7499064242272031,0.7230336639850035,0.43228341481556026,0.5594228654617467,25606
2,0.4976573813568283,0.755009331076262,0.7246739045536202,0.4300941970136598,0.5586344996417176,25606
3,0.4850584464519191,0.7552127399769073,0.7219011169257206,0.4342624216537688,0.571370216490059,25606
4,0.47602115446468496,0.7576210267499913,0.72787627899711,0.4321850066757824,0.5769098542929002,25606
5,0.4687641294163228,0.7551674911880719,0.7244786378192611,0.4313545141868908,0.5760548601833126,25606
