epoch,train_loss,valid_auc,valid_acc,valid_rmse,valid_bce,valid_n
1,0.5826644720374674,0.7746094846690147,0.7052205608013087,0.43726240245837306,0.5598207031595871,34843
2,0.5643367841068508,0.7792908885315989,0.7039577533507447,0.437747714894516,0.560626123917402,34843
3,0.5597705912330876,0.779326611708915,0.7084923801050427,0.43535669733632903,0.5551295730336383,34843
4,0.5568343786596018,0.7803372543777933,0.7106735929741985,0.434393583215825,0.5528313745062469,34843
5,0.554337471661854,0.781628349682768,0.7121373016100795,0.4338580520229987,0.5520511960103011,34843
