epoch,train_loss,valid_auc,valid_acc,valid_rmse,valid_bce,valid_n
1,0.529084701116672,0.7485706317590948,0.7210246797875663,0.4303929346964003,0.5517071316642879,25608
2,0.4973711312391079,0.7553503844740124,0.7244611059044048,0.4303315624261689,0.5559625754713197,25608
3,0.484671911437377,0.7557424638081913,0.7245782567947516,0.4317250233987237,0.5676175509067519,25608
4,0.47665974784750065,0.7535119363703379,0.7162214932833489,0.43539294272530943,0.5743651054567469,25608
5,0.47055005367225267,0.7598581046862427,0.7268431740081225,0.4293944313061346,0.5662457385287083,25608
6,0.46486067849799395,0.7567997420134327,0.7247735082786629,0.43109982474161374,0.5772845451271804,25608
7,0.45839965712417435,0.758468789339473,0.7254373633239612,0.4313245971402753,0.5785863433000099,25608
8,0.4515343950408033,0.7596340718960932,0.7254373633239612,0.4311397632737777,0.581908611954208,25608
9,0.4443128726751309,0.7584214519518593,0.7259840674789129,0.4321809726533859,0.5939373794476184,25608
10,0.4361058491624205,0.7581778756458276,0.7227038425492034,0.4341363004009466,0.6046137626479722,25608
