epoch,train_loss,valid_auc,valid_acc,valid_rmse,valid_bce,valid_n
1,0.5145033629003324,0.8179568600751432,0.7655658530217987,0.401019277401791,0.4891890326409111,30644
2,0.4938109790337713,0.8199699348786651,0.7680459470043075,0.39954597887587107,0.48581618969664986,30644
3,0.4897605865566354,0.8208597446702118,0.7690901971022059,0.3990272570337147,0.4850513298843046,30644
4,0.48790109800665005,0.8236368100413448,0.7706565722490536,0.39804998888888543,0.48335392538153704,30644
5,0.4861298961702146,0.8241379469074859,0.7718313536091894,0.39762376453983617,0.48232749612808534,30644
6,0.48461024814530423,0.8245615112126687,0.7712765957446809,0.39717014556956054,0.4811794810391372,30644
7,0.48306775958914505,0.8242689780634698,0.7691554627333246,0.3980771099134083,0.4832177406757363,30644
8,0.48147068647961866,0.8248078932420994,0.7712113301135622,0.39681720387898306,0.4805913593674515,30644
9,0.48003983676433565,0.824841054335361,0.7725166427359352,0.39670539671220284,0.4805066333821024,30644
10,0.4786605705712971,0.8243811867927975,0.7714723926380368,0.39746448037257937,0.4820968790024627,30644
11,0.4768828973644658,0.8244039731911328,0.7716029239002741,0.39728778563498995,0.48207038488634063,30644
12,0.475147111415863,0.8253427039657062,0.7734303615715964,0.3965271987714101,0.4807715733076497,30644
13,0.47317825433455013,0.8246177958642903,0.7725819083670539,0.39690031586651525,0.4812200645148532,30644
14,0.4711568816084611,0.8239244379804624,0.7720597833181047,0.3971464707967569,0.48179027677585207,30644
15,0.4695136782056407,0.8238080966994432,0.7714071270069182,0.3975321263100545,0.4824245695922523,30644
16,0.4675385142627515,0.8234522992178337,0.7722229473959014,0.39753244492535883,0.4830080524111028,30644
17,0.4653052554632488,0.8236413382877875,0.7724187442892573,0.39733791087514525,0.4827194334709137,30644
