epoch,train_loss,valid_auc,valid_acc,valid_rmse,valid_bce,valid_n
1,0.5120412869063542,0.7202012392133832,0.7018432991376139,0.44436781213476007,0.5816707868324074,24467
2,0.47932879822989105,0.7319717446073757,0.7099358319368946,0.4418427494965046,0.5841068068055955,24467
3,0.4663245609803759,0.7293565719086095,0.7083009768259289,0.4437266269760828,0.5920539440613406,24467
4,0.457772367942523,0.7262256520547732,0.7040912249151919,0.44597541254955664,0.5985785717939913,24467
5,0.44921727079558477,0.7300023901506718,0.7102219315813136,0.4451549820297784,0.6153101492216583,24467
