epoch,train_loss,valid_auc,valid_acc,valid_rmse,valid_bce,valid_n
1,0.5134976466705925,0.8151775305807889,0.7618783448635948,0.40290265938015385,0.49266416083542774,30644
2,0.4957295830312528,0.8183199322525632,0.7662837749641039,0.4006778152275996,0.48826404963755243,30644
3,0.4923382499029762,0.8177129341628369,0.7663164077796633,0.40083208635430995,0.48862100995124297,30644
4,0.49076456076220465,0.8211357663437573,0.768600704868816,0.3997686253372269,0.4867520569714721,30644
5,0.48959426741851003,0.8225702745449126,0.7693186268111213,0.39865958812153623,0.48461054038285056,30644
6,0.48847846197454553,0.8211837039433787,0.7695796893355958,0.3994317645414882,0.48599751117506995,30644
7,0.4875137865229657,0.8217820786971957,0.768600704868816,0.3998258934490922,0.48695971616737826,30644
8,0.48682393202656193,0.8221291451389992,0.7698081190445112,0.3984985117854589,0.4840690952889891,30644
9,0.48605066832743193,0.822890602323647,0.7713418613757995,0.39794217905008067,0.48296940321776066,30644
10,0.4852845719299818,0.8227641040968838,0.7704281425401384,0.39815166917044065,0.4833276882151193,30644
11,0.48445853223926144,0.8216705115084705,0.7688291345777314,0.3990954034992232,0.48555972523331575,30644
12,0.48387965192920285,0.8234789606150639,0.7709176347735283,0.39758255805978937,0.48232229281361794,30644
13,0.4830729627609253,0.8229869668732033,0.7706565722490536,0.3979674914324794,0.4830855421695834,30644
14,0.4824203157738635,0.8229459504196444,0.7704607753556977,0.3981926296468348,0.48351843729070165,30644
15,0.4817441899525492,0.8223423730993353,0.7696123221511552,0.3989839733174791,0.48509962410402274,30644
16,0.4810130607140692,0.8230799481155676,0.7714397598224775,0.39793414689992906,0.4831257405485905,30644
17,0.4800638966497622,0.8233201231225993,0.7709502675890876,0.39797398776803844,0.4832866747749909,30644
