epoch,train_loss,valid_auc,valid_acc,valid_rmse,valid_bce,valid_n
1,0.515306888316807,0.8171333420320619,0.7651416264195274,0.4015333847890497,0.4902188923456984,30644
2,0.494195422122353,0.8201983818678935,0.7665122046730192,0.39960540441365755,0.4860176158392203,30644
3,0.49074391057616784,0.8209568069537082,0.7692533611800026,0.39890209860757697,0.4847720217525685,30644
4,0.4886443593941237,0.8222673784077326,0.7694817908889179,0.39890753378626037,0.4852042857911172,30644
5,0.4870428304609499,0.823626999621182,0.7697754862289519,0.398084877154241,0.4832966546788573,30644
6,0.485710202141812,0.8232128851622467,0.770787103511291,0.39803104612493945,0.48298060232248513,30644
7,0.48429448755163895,0.8239883977054238,0.769188095548884,0.3984352560541132,0.4837226307920885,30644
8,0.483129380941391,0.8241269142822335,0.7712765957446809,0.3972469569258331,0.48156766053056255,30644
9,0.4819499040277381,0.8246222608932283,0.77228821302702,0.39692173404824,0.4810865657088002,30644
10,0.48051030861703975,0.823929778688909,0.7707218378801723,0.39756745356913153,0.4821846476683789,30644
11,0.4794400693240919,0.8245329860697466,0.772190314580342,0.39721552139949645,0.4817938985375516,30644
12,0.4778002727659125,0.8255317196217694,0.7716029239002741,0.39659419676328933,0.4807965999984613,30644
13,0.47667186630399605,0.8243394281189063,0.7716029239002741,0.3970690770840694,0.48138671323228704,30644
14,0.47539867793258866,0.8246693860308457,0.7717987207936301,0.39694193102934633,0.4809951081482595,30644
15,0.47359720123441595,0.823571630452683,0.7703302440934604,0.39790484409178273,0.48311484884020045,30644
16,0.47232814290021596,0.8236851363115503,0.7711460644824435,0.39755360415838426,0.4823811008894101,30644
17,0.47075497451581455,0.8239525814769677,0.7715376582691554,0.39731619633984516,0.4820809630291501,30644
