epoch,train_loss,valid_auc,valid_acc,valid_rmse,valid_bce,valid_n
1,0.5189361331023667,0.8173722433234447,0.7642279075838664,0.40140141621935216,0.4899644514650189,30644
2,0.4968105479918028,0.8213688118211001,0.7691554627333246,0.39885741900578126,0.48478729236678114,30644
3,0.49188285949983096,0.8219661868017885,0.7696775877822739,0.39837036315163316,0.48423466457645237,30644
4,0.48871976755167307,0.8246152156535458,0.7705260409868163,0.3977960584348855,0.4832251218670123,30644
5,0.4858693468884418,0.8251043037315823,0.7717660879780708,0.39711097475307894,0.481736789899827,30644
6,0.48323155086291464,0.8244741844248851,0.7700691815689857,0.39713694045811554,0.4814430658419574,30644
7,0.48055495754668587,0.825369896858253,0.7688291345777314,0.39733549195715057,0.4819190369246729,30644
8,0.47752117903609026,0.8252731530036688,0.7712439629291216,0.39660851174823314,0.48069987275228504,30644
9,0.47473017858831507,0.8236604931916902,0.769188095548884,0.3975855189224507,0.483003941437394,30644
10,0.47175994829127665,0.8233655343634247,0.7697428534133925,0.39821970353726704,0.48440640045523664,30644
11,0.46832317559342634,0.8226623918147136,0.7694491580733586,0.39830912597606327,0.4846065784459846,30644
12,0.46514275004989225,0.8233898567129835,0.7713092285602402,0.39796882066250533,0.4851173608082774,30644
