epoch,train_loss,valid_auc,valid_acc,valid_rmse,valid_bce,valid_n
1,0.5691774215387262,0.7164730140370377,0.7024166570538701,0.4427964590285986,0.5769179379187366,34676
2,0.5437814238525572,0.7224590904805245,0.7039739300957435,0.44508061311042074,0.5889362878456843,34676
3,0.5355549099899474,0.7229866819471242,0.705185142461645,0.44272267000508386,0.5822371398000541,34676
4,0.528400698588008,0.7243107255507695,0.7055888799169454,0.44155629738826846,0.5788988450084239,34676
5,0.5215360912230197,0.7265812903584492,0.7047814050063445,0.4416458526091397,0.5799574431368945,34676
