dataset,model,auc,doa,temperature,ece_uncalibrated,ece_calibrated,ece_certified,ece_abstained,certified_prediction_fraction,aurc_certificate,aurc_count,aurc_mc_dropout,aurc_margin,excess_vs_count,excess_vs_mc_dropout,excess_vs_margin,excess_vs_ability,kill_switch_pass
assist_09,kancd,0.7578113513811444,0.6476567331196216,1.62,0.07677039008619668,0.02244386994860756,0.021245781892459386,0.04739218159999296,0.8270265423242468,0.288612403218884,0.2886637409347137,0.21335381949708715,0.16969097759348023,5.133771582971347e-05,-0.07525858372179683,-0.11892142562540375,-0.06322190061378627,False
assist_09,ncdm,0.752730162520853,0.6012344314867303,1.83,0.09733379842523733,0.06188914019245448,0.0548527094945481,0.10363890393331732,0.8270265423242468,0.2943069636860057,0.2943105152057939,0.20380724370927758,0.17501113155103237,3.551519788203006e-06,-0.0904997199767281,-0.1192958321349733,-0.057351792471711543,False
assist_17,kancd,0.7887213643324816,0.6981978221143009,1.1900000000000002,0.04933718762949345,0.03592716888388038,0.03250428796175102,0.0748391077190548,0.8405551369002763,0.27620815504736235,0.27686136458500205,0.19037382687601792,0.1700706467386576,0.0006532095376396985,-0.08583432817134443,-0.10613750830870475,-0.03639687610113812,False
assist_17,ncdm,0.7723327324160663,0.6003741455744613,1.3599999999999999,0.05497604672888495,0.02970572308155119,0.039466778723988405,0.03357500363754451,0.8405551369002763,0.28019322812137054,0.28116760052303585,0.1906220416566109,0.18776647929063664,0.0009743724016653132,-0.08957118646475964,-0.0924267488307339,-0.018157991007209773,False
junyi,kancd,0.8000635777361164,0.5901242826423708,1.3599999999999999,0.03559289517769001,0.024233978097958332,nan,0.024233978097958332,0.0,0.2531089109816145,0.2531089109816145,0.16651804942422624,0.13827646276413474,0.0,-0.08659086155738824,-0.11483244821747973,-0.014141314693935064,False
junyi,ncdm,0.7970195518152238,0.5150769793544472,1.1800000000000002,0.03337124860941164,0.017791917937173374,nan,0.017791917937173374,0.0,0.25516145362895304,0.25516145362895304,0.19963523879013764,0.1395419351516827,0.0,-0.055526214838815396,-0.11561951847727034,-0.013130970471427361,False
nips34_retricd_small,kancd,0.7884277335923413,0.7068256754478803,1.11,0.017618392253699912,0.011222250615170161,nan,0.011222250615170161,0.0,0.28205754394620397,0.2712099393747474,0.23955983445685053,0.16049690532200828,-0.01084760457145656,-0.04249770948935344,-0.1215606386241957,-0.07001162688108772,False
nips34_retricd_small,ncdm,0.7889065060703343,0.6605860613276778,1.1700000000000002,0.02040245807452743,0.01742826134531906,nan,0.01742826134531906,0.0,0.2816945023449478,0.271764556309669,0.23046599020022626,0.16009954628147402,-0.009929946035278803,-0.051228512144721544,-0.12159495606347379,-0.07076244240329599,False
