epoch,train_loss,valid_auc,valid_acc,valid_rmse,valid_bce,valid_n
1,0.5264001937565154,0.7485305957506649,0.7226257419556389,0.4306981079761477,0.5520356954782527,25608
2,0.4964213608629602,0.7551951474263956,0.7240706029365823,0.4305567185922864,0.5597540810799999,25608
3,0.483901821025628,0.7546284834029047,0.7233676975945017,0.43291471768486023,0.5756945295264009,25608
4,0.4753905562209952,0.7535162624881615,0.7123555139019057,0.437761977641333,0.583825206258497,25608
5,0.468060996132343,0.7576459353877248,0.7251249609497032,0.43163882984461266,0.5777473250589871,25608
6,0.46015558589603417,0.7551387457919132,0.7229381443298969,0.4334381958585295,0.5916467958785299,25608
7,0.4511792021489701,0.7558508666622268,0.7216104342393003,0.43437457873646457,0.5940508241547512,25608
8,0.44016204305003404,0.7543257598466291,0.7234848484848485,0.43404655182818613,0.6049887037729256,25608
9,0.42732398947790534,0.7509995865028366,0.7194626679162761,0.43792610194890824,0.641641989663334,25608
10,0.41243229701889594,0.7522577066698943,0.7188769134645423,0.43802126416862913,0.6606946255278782,25608
