epoch,train_loss,valid_auc,valid_acc,valid_rmse,valid_bce,valid_n
1,0.5342909062417042,0.7424949285471227,0.7161824429865667,0.4343475113548104,0.5606896658917747,25608
2,0.5019636642408174,0.7497678418082241,0.7193845673227116,0.4332481759864461,0.564594671907788,25608
3,0.4886364182547001,0.7495390202319123,0.7186816619806311,0.43540531475229804,0.5774033004282006,25608
4,0.4798905068119422,0.7512561951965975,0.7093876913464542,0.4399481972901654,0.5859831757106114,25608
5,0.4727648607720371,0.7540024019578773,0.7236019993751952,0.4329906771671555,0.5782877620609629,25608
6,0.4653967825549833,0.7543436249233557,0.7227819431427679,0.4339503119532069,0.5827822026939792,25608
7,0.4566234081286676,0.7544747525602444,0.7213761324586067,0.43597105778976175,0.5938121252750226,25608
8,0.4467091375072852,0.7535239184671669,0.7224695407685099,0.43670525913862873,0.6074067165956424,25608
9,0.43355726802201516,0.7512141734291667,0.7211027803811308,0.4379971778672021,0.6184195642579526,25608
10,0.41751897248966,0.7475439301898993,0.7143080287410184,0.4431718101849761,0.6545130336868357,25608
11,0.39716247634185886,0.7444777899610021,0.7066932208684786,0.4496998242723352,0.6921194639585323,25608
12,0.37442021041165685,0.7408614391403365,0.706146516713527,0.4538995765287378,0.7442827036757308,25608
