epoch,train_loss,valid_auc,valid_acc,valid_rmse,valid_bce,valid_n
1,0.5346750032868969,0.7423968833850194,0.7167681974383006,0.4340387243373958,0.5601286929226823,25608
2,0.5034745185952403,0.7452108592379197,0.7187988128709778,0.43467335711575866,0.5671798493989659,25608
3,0.49117057867850367,0.7482736729827763,0.7203217744454858,0.43567582005030536,0.5791315162560703,25608
4,0.48374754079762317,0.7439702698106141,0.711808809746954,0.43835065091605735,0.5826136911464901,25608
5,0.4776503656064628,0.750377047678884,0.7221571383942518,0.43418531186832027,0.5791972776701806,25608
6,0.4725523154870024,0.7497088938093085,0.7220790378006873,0.4341744666701579,0.5845231571764485,25608
7,0.4666398332814239,0.7502003961791834,0.7204389253358325,0.43491396228519347,0.589930030910845,25608
8,0.46066112510931706,0.7501136678171011,0.7211418306779132,0.4353999073812608,0.5996026701606652,25608
9,0.4545105881015405,0.747382614288198,0.718525460793502,0.4373083375997385,0.6092356523586719,25608
10,0.44667850846765456,0.7497688650819949,0.7186816619806311,0.4373933117073028,0.613615779207214,25608
