dataset,main_auc,main_acc,main_rmse,main_bce,main_n,support_deletion_auc_drop,support_deletion_bce_increase,support_corruption_auc_drop,support_corruption_bce_increase,shuffle_student_auc_drop,shuffle_student_bce_increase
assist_09,0.7607870687211885,0.7293758967001435,0.42947148181640726,0.5681045638208068,55760,0.021082725331130425,0.03176871868435438,0.01889041699036087,-0.00018677251494081393,0.0041129004563986715,0.005704410588710407
assist_17,0.8121044804365531,0.7383195177091183,0.4194265238440279,0.5317632664268863,79620,0.04584465846931285,0.08985385513675481,0.026740263143457454,0.03831383714066394,0.0034411301716613663,0.005346229251132262
junyi,0.8328924563529969,0.7740790723246863,0.39535429058899524,0.4770257541850726,80028,0.020458468210097447,0.022764250873938963,0.004386467377552328,0.006983126433447229,0.007594697020995245,0.008348253090453117
nips34_retricd_small,0.7852187451152671,0.7170202118490923,0.4317117002493526,0.5473126328034,71938,0.022902107975370622,0.038970633806122756,0.012146526609503883,0.017832812849604807,0.004152007552058468,0.005277573741348407
