epoch,train_loss,valid_auc,valid_acc,valid_rmse,valid_bce,valid_n
1,0.5230939272222489,0.7355070151058137,0.7355535234948821,0.42435222514056703,0.5399230457031714,33901
2,0.49734646787524595,0.7364640236348214,0.7379133358897968,0.42407263457656125,0.5403396263664578,33901
3,0.48715982797361235,0.7420217503002595,0.7395357069113005,0.42341607803266773,0.5417747585700846,33901
4,0.48068459670863045,0.7435592415071407,0.74086310138344,0.4219903081915458,0.5398867010438178,33901
5,0.47407991099456637,0.7415340728835405,0.7363794578331022,0.424370396804002,0.5428739306199681,33901
