dataset,source_dataset,original_rows,target_rows,train_rows,valid_rows,test_rows,auc,acc,rmse,bce,n,support_deletion_auc,support_deletion_auc_drop,support_corruption_auc,support_corruption_auc_drop,shuffle_student_auc,shuffle_student_auc_drop,avg_candidate_count,inference_sec_per_10k
ednet_kt1_gap_small_t50u2600_retricd_small,ednet_kt1_gap_small_t50u2600,518953,353835,247145,34676,72384,0.7207053458675432,0.7004724801061007,0.4463917219757453,0.5922604442908453,72384,0.6702346287630271,0.050470717104516116,0.6546944306356434,0.06601091523189984,0.7166842348680629,0.004021110999480326,118.43696120689656,0.561759613176067
ednet_kt1_gap_small_t60u2200_retricd_small,ednet_kt1_gap_small_t60u2200,439646,353835,247005,34677,72298,0.7237484883267775,0.6997150681899914,0.44804321393992474,0.6045580669247375,72298,0.6836712499810628,0.04007723834571475,0.6634036391322446,0.06034484919453287,0.7178909700891284,0.005857518237649129,118.87786660765167,0.56284788497639
ednet_kt1_gap_small_t65u1200_long_retricd_small,ednet_kt1_gap_small_t65u1200_long,413941,353835,247209,34935,71705,0.7193648859484965,0.7013876298723938,0.4460384241057831,0.5930544180226663,71705,0.6630309427512067,0.05633394319728979,0.6386144093100121,0.08075047663848434,0.7161738563531985,0.003191029595297934,127.40983195035214,0.5641788228077064
ednet_kt1_gap_small_t70u2000_retricd_small,ednet_kt1_gap_small_t70u2000,397704,353835,246897,34667,72272,0.7212916400189371,0.7002020146114678,0.4501982417807781,0.6133174069511085,72272,0.6844334591251907,0.03685818089374637,0.6658052759683262,0.055486364050610915,0.7163814945952041,0.0049101454237330255,118.71128514500775,0.5704491489149551
ednet_kt1_gap_t50u5000_retricd_small,ednet_kt1_gap_t50u5000,995113,353835,246958,34676,72315,0.7136498987481644,0.6901057871810827,0.45236784058824414,0.6065261784902163,72315,0.6742192584613338,0.03943064028683063,0.651632888250973,0.06201701049719144,0.7092939116645092,0.004355987083655255,118.50776464080758,0.5776769746449621
ednet_kt1_gap_t60u5000_retricd_small,ednet_kt1_gap_t60u5000,995113,353835,246958,34676,72315,0.7136498987481644,0.6901057871810827,0.45236784058824414,0.6065261784902163,72315,0.6742192584613338,0.03943064028683063,0.651632888250973,0.06201701049719144,0.7092939116645092,0.004355987083655255,118.50776464080758,0.5709904931243018
ednet_kt1_gap_t65u3000_long_retricd_small,ednet_kt1_gap_t65u3000_long,1028590,353835,247317,34955,71716,0.720741378701119,0.7015728707680294,0.4454152674633682,0.5934482813225127,71716,0.6710966233368815,0.049644755364237514,0.6655922083791458,0.055149170321973195,0.71690090579591,0.003840472905208947,127.3955044899325,0.5628529747995217
ednet_kt1_gap_t70u5000_retricd_small,ednet_kt1_gap_t70u5000,995113,353835,246958,34676,72315,0.7136498987481644,0.6901057871810827,0.45236784058824414,0.6065261784902163,72315,0.6742192584613338,0.03943064028683063,0.651632888250973,0.06201701049719144,0.7092939116645092,0.004355987083655255,118.50776464080758,0.5746034664869275
frcsub,frcsub,10720,0,7504,1072,2144,0.9155144799419244,0.8456156716417911,0.343484201405982,0.38402432828467675,2144,0.6797126691939028,0.23580181074802153,0.8961827876482431,0.019331692293681257,0.8391299512504389,0.07638452869148549,17.5,1.3090295755346097
junyi_chold,junyi_chold,353835,0,243163,30644,80028,0.8301821458002903,0.7745788973859149,0.3939718113669315,0.47451697750067723,80028,0.8208819114449303,0.009300234355359982,0.8269319636715406,0.0032501821287496124,0.8225524090816749,0.007629736718615332,43.05871694906783,0.5797981296428981
junyi_long,junyi_long,353835,0,243163,30644,80028,0.8326903523442101,0.7745039236267306,0.3944540042606738,0.47515217677560684,80028,0.8157589630401655,0.016931389304044586,0.8291988166745499,0.0034915356696602062,0.8252691256169213,0.007421226727288732,43.05871694906783,0.5720727349013167
junyi_sample,junyi_sample,186433,0,126257,17583,42593,0.8183357842938425,0.7766769187425164,0.3934348896658114,0.47319399619815944,42593,0.8043528278483623,0.013982956445480199,0.8122072639595733,0.0061285203342691386,0.8080637609054171,0.010272023388425366,43.08473223299603,0.6283780757365884
math2,math2,62576,0,43021,3911,15644,0.7772136227415667,0.6999488621835848,0.4382718804321798,0.5644588273215052,15644,0.7711343051638525,0.006079317577714183,0.7766436920839066,0.0005699306576600893,0.7696737551473705,0.007539867594196226,13.5,0.7651269367599074
nips34_l3_retricd_small,nips34_l3,1382727,353835,247197,34843,71938,0.7835171301381275,0.7163946731908032,0.43245118618172973,0.5492949234526786,71938,0.7645633777495592,0.018953752388568335,0.7697322012481738,0.013784928889953751,0.7796393839242794,0.0038777462138480656,123.94346520614974,0.551113965081285
