epoch,train_loss,valid_auc,valid_acc,valid_rmse,valid_bce,valid_n
1,0.5725982182699701,0.7119630662719932,0.7006371263009197,0.4459192091539578,0.5864218311570402,34687
2,0.5452926535907493,0.7200201067478628,0.7059417072678525,0.4429826185958502,0.5790387410232196,34687
3,0.5372201005309265,0.7200809779337467,0.70550926860207,0.4437338638058248,0.5836249839210277,34687
4,0.5307385379730051,0.7217447358367663,0.7052498054026004,0.44286480176802806,0.5800471774098607,34687
5,0.5251250125730013,0.7250158969195784,0.708478680773777,0.44376552984437384,0.5929782545027061,34687
