epoch,train_loss,valid_auc,valid_acc,valid_rmse,valid_bce,valid_n
1,0.5348886408454943,0.7414780105558625,0.7171196501093409,0.43384587629929666,0.5590496445161359,25608
2,0.50344720618105,0.7468728280760926,0.7191502655420181,0.43425784074735707,0.5659410440971522,25608
3,0.49189393203884896,0.7475439099270524,0.7200874726647922,0.4354731920807568,0.5767435075059641,25608
4,0.4843249037718347,0.7459226356398352,0.7139175257731959,0.4376174905236736,0.5820102298473785,25608
5,0.47880968242432753,0.7505367797013823,0.7223914401749453,0.4342494337147395,0.5827564057678872,25608
6,0.4746629769979186,0.7498772409189012,0.7229771946266792,0.43395882779387923,0.5831411099837086,25608
7,0.4701139515334999,0.750850205417988,0.7204779756326148,0.43460165189401895,0.5855480895431281,25608
8,0.46556265748514597,0.750778927476704,0.7226257419556389,0.4342774508051293,0.5927508840974565,25608
9,0.46076457388955266,0.7491890166994227,0.7211027803811308,0.4358096677063641,0.6031253562340626,25608
10,0.4560100946990463,0.7538108741513752,0.7231333958138082,0.43490280975715656,0.6048710077241458,25608
11,0.451175640463993,0.750789771476963,0.7177835051546392,0.43842306851530766,0.6189444822601513,25608
12,0.4452993371299733,0.7522997183059017,0.7224695407685099,0.43705607780496025,0.6242976331440989,25608
13,0.439623737966506,0.7504555054222704,0.7221571383942518,0.43656593474318295,0.6336768572201914,25608
14,0.43323796081575766,0.7442339097122661,0.718213058419244,0.43840733174881175,0.6382010535420385,25608
15,0.42695496564390245,0.7492060678851302,0.7229771946266792,0.43838634284959,0.6507621046082591,25608
