
  epoch 18 | loss 0.6100 | valid_auc 0.6964
  epoch 19 | loss 0.5733 | valid_auc 0.7046
  epoch 20 | loss 0.5340 | valid_auc 0.7127
  epoch 21 | loss 0.4920 | valid_auc 0.7203
  epoch 22 | loss 0.4500 | valid_auc 0.7262
  epoch 23 | loss 0.4084 | valid_auc 0.7299
  epoch 24 | loss 0.3725 | valid_auc 0.7317
  epoch 25 | loss 0.3403 | valid_auc 0.7311
  epoch 26 | loss 0.3132 | valid_auc 0.7296
  epoch 27 | loss 0.2883 | valid_auc 0.7280
  epoch 28 | loss 0.2685 | valid_auc 0.7261
  epoch 29 | loss 0.2515 | valid_auc 0.7245
  epoch 30 | loss 0.2398 | valid_auc 0.7227
  cert_auroc 0.566 vs count_auroc 0.567 | acc certified 0.760 / abstained 0.662 | beats_count=False

saved -> outputs/certcd_run/synth/synthetic_ncdm.json
