epoch,train_loss,valid_auc,valid_acc,valid_rmse,valid_bce,valid_n
1,0.5983053107442878,0.7607270330772606,0.7255355166351976,0.4232891364786899,0.5314620034375295,30718
2,0.5765070929380041,0.7661596164326836,0.7307767432775572,0.4207777306047954,0.5257689238213207,30718
3,0.5693668907158732,0.7685223934011729,0.7319812487792174,0.420258657559158,0.524851976581319,30718
4,0.5643805201362261,0.7717064379354995,0.7340321635523146,0.4187966641004029,0.5216031714101755,30718
5,0.5612357048906227,0.7711424896320664,0.7336089589165962,0.41930024022187135,0.5223097257187392,30718
