epoch,train_loss,valid_auc,valid_acc,valid_rmse,valid_bce,valid_n
1,0.5165364642205992,0.8232040461469623,0.7685028064221381,0.39950230376852897,0.48504213805081803,30644
2,0.4977905610046889,0.8257783405837809,0.7726471739981725,0.395751651902646,0.47743052110513645,30644
3,0.4937186514390142,0.826218439926045,0.771994517686986,0.39605516776253213,0.4779957807834857,30644
4,0.4906178464701301,0.8269926847098323,0.7724840099203759,0.3949144598531687,0.4755112229263773,30644
5,0.48806467194306224,0.8291955383091689,0.7740503850672236,0.3934978510326565,0.4725809849782204,30644
