epoch,train_loss,valid_auc,valid_acc,valid_rmse,valid_bce,valid_n
1,0.5852084561917908,0.784507003166335,0.7016108412170801,0.43867800700656634,0.5644493456570407,3911
2,0.5751101520992595,0.7859244446608743,0.7097928918435182,0.4335934750667766,0.5544100220906722,3911
3,0.5737508688805372,0.7870512766136815,0.7057018665302992,0.4333619365819304,0.5537394052131058,3911
4,0.5727896009676555,0.7858841258595889,0.7131168499105088,0.43614489294764186,0.5606824221961074,3911
5,0.5719808569321265,0.7856950987522641,0.7036563538736896,0.43418531186832027,0.5553763852265367,3911
