epoch,train_loss,valid_auc,valid_acc,valid_rmse,valid_bce,valid_n
1,0.5298490537596601,0.6289591315453384,0.6419475655430712,0.47846486347865574,0.6678769079497279,4005
2,0.4843218294637544,0.6268775365403718,0.6674157303370787,0.4772312912148953,0.6942854795109613,4005
3,0.4642661700823477,0.6354894281254435,0.6506866416978776,0.48329560698512175,0.6939279597648053,4005
4,0.44680052702980383,0.635562083155953,0.6599250936329588,0.48675409681577914,0.7459603171782354,4005
5,0.4363050516694784,0.6369967361998012,0.6569288389513108,0.4906747519421486,0.7921844954898798,4005
